1,1,Arica
2,1,Parinacota
3,2,Iquique
4,2,Tamarugal
5,3,Antofagasta
6,3,El Loa
7,3,Tocopilla
8,4,Copiapó
9,4,Chañaral
10,4,Huasco
11,5,Elqui
12,5,Choapa
13,5,Limarí
14,6,Valparaíso
15,6,Isla de Pascua
16,6,Los Andes
17,6,Petorca
18,6,Quillota
19,6,San Antonio
20,6,San Felipe de Aconcagua
21,6,Marga Marga
22,7,Cachapoal
23,7,Cardenal Caro
24,7,Colchagua
25,8,Talca
26,8,Cauquenes
27,8,Curicó
28,8,Linares
29,9,Concepción
30,9,Arauco
31,9,Biobío
32,9,Ñuble
33,10,Cautín
34,10,Malleco
35,11,Valdivia
36,11,Ranco
37,12,Llanquihue
38,12,Chiloé
39,12,Osorno
40,12,Palena
41,13,Coihaique
42,13,Aisén
43,13,Capitán Prat
44,13,General Carrera
45,14,Magallanes
46,14,Antártica Chilena
47,14,Tierra del Fuego
48,14,Ultima Esperanza 
49,15,Santiago
50,15,Cordillera
51,15,Chacabuco
52,15,Maipo
53,15,Melipilla
54,15,Talagante
