278,42,Guaitecas
279,43,Cochrane
280,43,O'Higgins
281,43,Tortel
282,44,Chile Chico
283,44,Río Ibáñez
284,45,Punta Arenas
285,45,Laguna Blanca
286,45,Río Verde
287,45,San Gregorio
288,46,Cabo de Hornos (Ex-Navarino)
289,46,Antártica
290,47,Porvenir
291,47,Primavera
292,47,Timaukel
293,48,Natales
294,48,Torres del Paine
295,49,Santiago
296,49,Cerrillos
297,49,Cerro Navia
298,49,Conchalí
299,49,El Bosque
300,49,Estación Central
301,49,Huechuraba
302,49,Independencia
303,49,La Cisterna
304,49,La Florida
305,49,La Granja
306,49,La Pintana
307,49,La Reina
308,49,Las Condes
309,49,Lo Barnechea
310,49,Lo Espejo
311,49,Lo Prado
312,49,Macul
313,49,Maipú
314,49,Ñuñoa
315,49,Pedro Aguirre Cerda
316,49,Peñalolén
317,49,Providencia
318,49,Pudahuel
319,49,Quilicura
320,49,Quinta Normal
321,49,Recoleta
322,49,Renca
323,49,San Joaquín
324,49,San Miguel
325,49,San Ramón
326,49,Vitacura
327,50,Puente Alto
328,50,Pirque
329,50,San José de Maipo
330,51,Colina
331,51,Lampa
332,51,Tiltil
333,52,San Bernardo
334,52,Buin
335,52,Calera de Tango
336,52,Paine
337,53,Melipilla
338,53,Alhué
339,53,Curacaví
340,53,María Pinto
341,53,San Pedro
342,54,Talagante
343,54,El Monte
344,54,Isla de Maipo
345,54,Padre Hurtado
346,54,Peñaflor
